Elegido;264;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GR;GR+;GR-;A;A+;A-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;TORQUE DE SELLOS +;TORQUE DE SELLOS -;PORCENTAJE DE GRASA;TIPO DE GRASA;Fecha Rev. Plano;Rev.
99;OR208-18;18;0;-120;80;0;-13;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0
100;OR208-21;21;0;-120;80;0;-13;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0
101;OR209-G19;19;0;-120;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-06-13 00:00:00;0
102;OR210-G;22;0;-120;90;0;-15;No;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;A
103;OR-5209-01;30;0;-120;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;……………………….;……………………….;NO;NO;2016-08-09 00:00:00;0
104;RX84;15.875;0;-120;53.97;0;-13;20.193;0;-120;NO;NO;NO;;;;17.653;127;0;;;;;……………………….;……………………….;;;……………….;……….
105;SAB5207-02;NO;NO;NO;NO;NO;NO;45.6;0;-120;35;21;0;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2014-02-20 00:00:00;0
106;BPB-048-SAB5207-35 - CMI;27;0;-120;72;0;-13;45.6;0;-120;35;20;0;AXIAL C3;40;21;NO;NO;NO;64;58;64;58;20cNm / 0,20Nm;15cNm / 0,15Nm;35%-45%;Polyrex;2017-03-16 00:00:00;A
107;B&P-048-SAB5209-45RR-CMI;30;0;-127;85;0;-15;49.2;0;-127;45;25;0;Axial C3;23;44;NO;NO;NO;64;58;64;58;0.6 Nm;0.5 Nm;17 - 21;Polyrex;2018-05-02 00:00:00;D.
108;SBX-1706;22;0;-150;130;0;-18;22;0;-150;85;0;-20;C0;12;36;NO;NO;NO;;;;;……………………….;……………………….;;;……………….;……….
109;SC-310-2RST-C3;27;0;-120;110;0;-15;27;0;-120;50;0;-13;C3;18;36;NO;NO;NO;;;;;……………………….;……………………….;;;……………….;……….
110;UC5209-G45 ;30;0;-120;85;0;-15;49.2;0;-120;45;25;0;C3;23;44;NO;NO;NO;;;;;……………………….;……………………….;;;……………….;……….
111;W207KYYB3;19;0;-120;72;0;-13;37.7;0;-120;NO;NO;NO;Radial;33;15;28.6;127;0;64;58;64;58;9,1cNm / 0,091Nm;5,6cNm / 0,056Nm;5-6,7;polyrex;……………….;……….
112;BPB-048-W-208-PP21-N - ZJXY;18;0;-120;80;0;-13;36.512;0;-120;32.4;400;0;C0;20;6;31.775;127;0;64;58;64;58;1.3Nm;0.74Nm;12.1 - 10.46;Polyrex;2017-10-02 00:00:00;E
113;W208YYB22;21;0;-127;80;0;-13;36.51;0;-127;NO;NO;NO;RADIAL;15;33;31.8;127;0;;;;;……………………….;……………………….;;;……………..;………
114;W208YYB22;21;0;-127;80;0;-13;36.51;0;-127;NO;NO;NO;;15;33;31.8;127;0;;;;;……………………….;……………………….;;;……………….;……….
115;W208YYB22;21;0;-127;80;0;-13;36.51;0;-127;NO;NO;NO;;15;33;31.8;127;0;62 HRC;58 HRC;62 HRC;58 HRC;0.37 Nm;0.56 Nm;9,6 - 12,8;polyrex;2018-10-26 00:00:00;0
116;W208YYB22-01;21;0;-127;80;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;……………………….;……………………….;NO;NO;2014-09-18 00:00:00;0
117;W208YYB22-02;NO;NO;NO;NO;NO;NO;36.51;0;-127;NO;NO;NO;NO;NO;NO;31.877;127;0;64;58;NO;NO;……………………….;……………………….;NO;NO;2014-09-15 00:00:00;0
