host_id,item,Fecha Partida,produc,descrip_larga,Llave,OC Tipo,OC numero,ubi,obser,canti_real_item,Cant_Despachada,canti_real,Comp,Num,Fecha_ing,Subgrupo,costo_prome_ponde,depO,uni_medi_stock,depo_descrip,,,Observacion
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-09-05-02,,2200,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-11-06-03,,2200,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-15-01-03,,2200,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-16-02-02,,2200,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-20-01-02,,2150,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,B-20-01-03,,2200,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,C-04-06-02,,1430,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,C-05-01-03,,1520,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,AR7513,2026-03-31,B&P-041-MS04-2RS,6204 = 20x47x14,B&P-041-MS04-2RSAR7513,,,V-00-00-00,,50,20000,20121,,,2026-03-31,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000076C,2026-03-26,B&P-047-SAB-212-60DG,Tipo UC/YAR = 60x110x27/65.1,B&P-047-SAB-212-60DG6088IC06000076C,OCEUG,1053,H-12-04-01,,72,250,277,IDESP,7132,2026-03-26,AUTOCENTRANTES,0,101,C/Uno,Control de Calidad,,,
